A,B,C,D
1,26,-34.85,187.34
2,20,-30.81,139.22
3,15,-26.85,98.99
4,25,-22.99,179.18
5,7,-18.94,35.25
6,18,-14.98,123.2
7,13,-10.64,83.3
8,16,-6.98,107.14
9,20,-2.8,139.09
10,21,1.34,147.22
11,18,5.2,122.99
12,15,9,99.2
13,31,13.15,227.3
14,24,17.32,171.25
15,4,20.99,11.33
16,31,25.1,226.98
17,6,29.23,27.28
18,30,33.31,219.24
19,7,37.03,35.07
20,18,41.25,123.03
21,2,45.03,-4.74
22,3,49.18,3.2
23,18,53.01,123.3
24,10,57.26,59.24
25,37,61.22,275.18
26,25,65.06,179.22
27,17,69.04,114.99
28,7,73.34,35.32
29,26,77.01,187.37
30,35,81.11,259.24
31,32,85.13,235.22
32,12,89.09,75.34
33,35,93.19,258.98
34,19,97.21,131.18
35,37,101.1,275.02
36,9,105.35,51.02
37,33,109.12,243.08
38,34,113.12,251.05
39,20,117.3,139
40,12,121.25,75.14
41,38,125.09,283.21
42,14,129.22,91.24
43,11,133.09,67.37
44,11,137.28,67.2
45,23,141.17,163.33
46,19,145.27,131.22
47,24,149.2,171.29
48,26,153.15,187.35
49,33,157.27,243.27
50,28,160.99,203.06
51,36,165.3,267.17
52,11,169.04,67.33
53,38,173.15,283.04
54,29,177.18,211.26
55,12,181.01,75.06
56,39,185.21,291.35
57,23,189.37,163.09
58,6,193.23,27.18
59,3,197.09,3.08
60,24,201.37,171.09
61,32,205.25,235.01
62,4,210,11.36
63,10,213.37,59.26
64,27,217.36,195.16
65,0,221.24,-20.72
66,3,225.32,3.19
67,26,229.21,187.34
68,25,233.33,179.01
69,3,237.05,3.36
70,14,241.15,91.21
71,13,245.27,83.13
72,0,249.22,-20.91
73,38,253.24,283.09
74,19,257.04,131.07
75,37,261.04,275.25
76,19,265.07,131.12
77,0,269.26,-20.65
78,36,273.03,267.22
79,39,277.06,291.3
80,38,281.2,282.99
81,21,285.25,147.2
82,28,289.17,203.05
83,0,293.08,-20.69
84,3,297.27,3.37
85,12,301.24,75.35
86,39,305.03,291.05
87,5,309.03,19.25
88,3,313.31,3.3
89,19,317.31,131.31
90,3,321.21,3.13
91,5,325.34,19.33
92,19,329.14,131.12
93,26,333.06,187.22
94,12,337.09,75.03
95,3,341.13,3.29
96,1,345.05,-12.74
97,0,349.1,-20.77
98,27,353.13,195.17
99,11,357.25,67.02
100,4,361.2,11.25
